headline,description,date
Chocolat : Lindt verse un dividende record à ses actionnaires,Le chocolatier suisse caracole à la bourse de Zurich. Ses actionnaires ont perçu un dividende record de 1.750 francs suisses (1.643 euros) pour des actions qui sont les plus chères du marché helvétique. Lindt & Sprüngli a confirmé son objectif de croissance organique annuel entre 5 et 7 %. ,Publié le 3 mars à 18h36
Le fonds souverain norvégien mène la vie dure à Alphabet,"Le fonds connu pour ses principes éthiques a dévoilé les positions prises lors des 11.500 assemblées générales auxquelles il a participé en tant qu'actionnaire. Il s'est opposé aux PDG, a contesté les pilules empoisonnées et le cumul des mandats. ","Publié le 3 mars à 18h33,Mis à jour le 3 mars à 18h34"
Pourquoi Wall Street a pris plus de 5 % lundi soir,"Alors qu'ils venaient de traverser leur pire semaine depuis la grande crise financière, Wall Street a bondi de 5 % hier soir. Des mouvements d'une telle ampleur sont rares sur les marchés. Le Dow n'avait pas connu une telle envolée depuis 2009. ","Publié le 3 mars à 11h31,Mis à jour le 3 mars à 15h22"
Coronavirus : les marchés restent fébriles après la baisse surprise des taux de la Fed,"La décision de la Réserve fédérale américaine a surpris Wall Street, qui a réagi froidement. Les places boursières européennes ont réduit leurs gains mais ont clôturé en hausse.","En chiffres,Publié le 3 mars à 9h32,Mis à jour le 4 mars à 9h04"
"Décès de Jack Welch, le bâtisseur du géant General Electric","Ce patron aux origines modestes avait fait de GE la valeur préférée de Wall Street et la première entreprise américaine, dans les années 1990, avant que celle-ci ne s'effondre récemment. C'est sous son règne que le groupe s'est diversifié, porté par une boulimie d'acquisitions.","Portrait,Publié le 2 mars à 16h33,Mis à jour le 2 mars à 19h29"
Coronavirus : ce qu'il faut retenir de la journée du 2 mars,"Nombre de cas, nouvelles restrictions, événements annulés, réactions des Bourses, conséquences politiques… En France, l'épidémie de coronavirus est entrée dans une phase 2, c'est-à-dire qu'elle s'étend sur le territoire national.","Publié le 2 mars à 15h15,Mis à jour le 2 mars à 22h03"
,"L'association de défense des actionnaires As You Sow a publié un classement des 100 patrons américains qu'elle considère comme trop payés. Elle pointe les grands fonds indiciels, qui ne s'opposent pas aux rémunérations excessives en assemblées générales. ","La sélection abonné,Sélection abonnés,Publié le 2 mars à 12h26"
Coronavirus : La perspective d'une réponse coordonnée redonne de l'espoir aux places financières mondiales,"Au terme d'une nouvelle séance volatile, les indices boursiers européens ont clôturé autour de l'équilibre. Wall Street rebondissait vivement, portée par l'espoir d'une réponse coordonnée des gouvernements et des banques centrales du G7.","En chiffres,Publié le 2 mars à 9h38,Mis à jour le 9 mars à 15h58"
Veolia : Départ lancé,Veolia livre un nouveau plan stratégique solide à une Bourse qui l'est moins.,Publié le 1 mars à 17h24
,"Les marchés ont traversé leur pire semaine depuis la grande crise financière. Les Bourses mondiales ont plongé de 11 à 12 %, alors que la propagation de l'épidémie de coronavirus s'accélère. Sur les marchés financiers, le risque d'emballement est réel.","Décryptage,Sélection abonnés,Publié le 1 mars à 11h00,Mis à jour le 2 mars à 9h09"
Private equity : la course aux mégadeals franchit un nouveau cap en Europe,"Le britannique Cinven et l'américain Advent ont remporté les enchères sur la division d'ascenseurs de Thyssenkrupp pour 17,2 milliards d'euros, un record en Europe depuis 2010.",Publié le 1 mars à 10h10
Marchés financiers : d'une épidémie à l'autre,La Bourse doit faire atterrir ses estimations de bénéfices par action de l'année.,Publié le 1 mars à 9h55
,"Les marchés financiers paniquent, les épargnants aussi. Quelle est la bonne tactique pour limiter les pertes ? Est-il encore temps de vendre ? Les réponses des professionnels.","Sélection abonnés,Publié le 28 févr. à 13h48,Mis à jour le 28 févr. à 17h55"
Coronavirus : « l'indice de la peur » flambe en Bourse,Le VIX flambe à des niveaux jamais vu depuis la crise de la zone euro. Le coronavirus crée un mouvement de panique qui s'est traduit par une semaine noire en Bourse. ,"Focus,Publié le 28 févr. à 12h24,Mis à jour le 9 mars à 16h01"
"Aérien : dans le brouillard, IAG renonce à faire des prévisions pour 2020","Avec l'épidémie de coronavirus, Willie Walsh, le très écouté patron du groupe IAG, maison mère de British Airways et d'Iberia, juge la situation trop mouvante pour pouvoir faire des prévisions pour l'exercice 2020. Le plus rentable des groupes de transport aérien européens a perdu 22 % de sa valeur en bourse en cinq jours.","Publié le 28 févr. à 10h00,Mis à jour le 28 févr. à 12h31"
Coronavirus : les Bourses signent leur pire semaine depuis la crise de 2008,"Les Bourses européennes ont clôturé en forte baisse ce vendredi, mettant fin à la pire semaine jamais enregistrée depuis la crise financière de 2008, tandis que Wall Street poursuivait sa descente aux enfers. En sept jours, la panique boursière a fait disparaître pour 6.000 milliards de dollars d'actifs, la quasi-totalité des mouvements haussiers depuis l'été dernier.","En chiffres,Publié le 28 févr. à 9h30,Mis à jour le 9 mars à 16h04"
Coronavirus : les Bourses asiatiques en forte chute ce vendredi,"Dans le sillage des marchés américains qui se sont fortement repliés jeudi, toutes les Bourses asiatiques affichent des replis proches ou supérieurs à 3 %. Tokyo a clôturé sur un retrait de 3,67 %. Les investisseurs s'inquiètent de l'accélération de l'épidémie de coronavirus à travers le globe et de son impact économique.","Publié le 28 févr. à 6h56,Mis à jour le 9 mars à 16h05"
Arkema/Elliott : Troubles de la suractivité,Arkema tient à la lisibilité d'une stratégie qui a plus que triplé son titre en Bourse.,Publié le 27 févr. à 19h25
"Coronavirus : déroutés, les marchés placent leurs espoirs dans les banques centrales","Alors que les cas de coronavirus se multiplient sur les cinq continents, les Bourses mondiales ont connu une nouvelle journée noire ce jeudi. Le CAC 40 a cédé 10 % en une semaine. Les investisseurs anticipent de nouvelles baisses de taux des banques centrales pour soutenir l'économie.","Publié le 27 févr. à 18h31,Mis à jour le 28 févr. à 9h06"
WPP sanctionné en Bourse pour avoir annoncé une croissance nulle en 2020,Le leader mondial de la communication a chuté de plus de 17 % jeudi sur la place de Londres. Sa capitalisation touche son plus bas depuis 2012.,"Résultats,Publié le 27 févr. à 10h24,Mis à jour le 27 févr. à 16h58"
"En Europe, les Bourses chutent de plus de 10% en une semaine","La peur de l'expansion de l'épidémie de coronavirus a de nouveau fait chuter les marchés jeudi. En Europe, les indices ont reculé de plus de 3% jeudi. Le baril de brut américain décrochait de près de 5% sous 47 dollars.","Publié le 27 févr. à 10h06,Mis à jour le 27 févr. à 18h11"
La Bourse de São Paulo en première ligne,"La place financière brésilienne a subi de plein fouet les effets secondaires du coronavirus, en raison des liens économiques entre le Brésil et la Chine. Après la trêve du carnaval, la Bourse de São Paulo a plongé de près de 10 %.","Publié le 27 févr. à 9h50,Mis à jour le 27 févr. à 23h40"
"A Londres, les seigneurs du Ring n'ont pas dit leur dernier mot","La Bourse des métaux, à Londres, est la dernière place de marché physique sur le sol européen. Le « Ring » permet d'assurer la liquidité pour des métaux moins liquides que d'autres. Société Générale est la dernière banque faisant partie du cercle restreint des « ring dealers ».","Récit,Publié le 27 févr. à 6h33,Mis à jour le 27 févr. à 15h16"
Epargne : transformer le plomb en or,"Pour attirer davantage les Français vers la Bourse, pour leur donner envie de croire aux vertus du capitalisme, les grands patrons devront peut-être aussi jouer davantage le jeu des actionnaires. ","Édito,Publié le 26 févr. à 19h14,Mis à jour le 27 févr. à 7h00"
Comment Tesla électrise la Bourse,"Le 19 février Tesla a atteint une capitalisation record de 168 milliards de dollars. Pour « La Story », le podcast d'actualité des « Echos », Pierrick Fay et ses invités retracent l'irrésistible ascension en bourse de la firme du fantasque Elon Musk.","Podcast,Publié le 26 févr. à 16h57"
,"Capitalisation boursière à plus de 200 milliards de dollars, plus de 11 milliards de recettes au cinéma sur la seule année 2019 : gros plan sur le Disney que l'iconique patron américain laisse en héritage. ","Décryptage,Sélection abonnés,Publié le 26 févr. à 12h13"
Coronavirus : les places financières mondiales dans l'angoisse,"Après le coup de chaud du milieu de matinée, les bourses européennes réduisaient leurs pertes. Le CAC 40 se stabilisait avant l'ouverture de Wall Street et Milan reprenait plus de 1 %. Les investisseurs s'interrogent sur les conséquences économiques de l'épidémie de coronavirus. ","Publié le 26 févr. à 11h23,Mis à jour le 26 févr. à 15h08"
SCOR veut lever les doutes sur sa stratégie,Le réassureur français compte sur ses bons résultats en 2019 pour convaincre à nouveau les investisseurs de la pertinence de sa stratégie. Et souhaite tourner au plus vite la page Covéa. ,Publié le 26 févr. à 6h11
Coronavirus / Marchés : Les médecins malgré eux,La brutalité de la réaction des marchés est peut-être excessive.,"Publié le 25 févr. à 18h55,Mis à jour le 25 févr. à 18h56"
"Chimie : le fonds activiste Elliott s'intéresse à Arkema, le titre décolle","Le groupe chimique français a vu son titre bondir en Bourse mardi de près de 6,5 %. La cause : une rumeur de marché plutôt crédible selon laquelle le fonds activiste serait monté au capital.","Publié le 25 févr. à 18h43,Mis à jour le 25 févr. à 19h15"
,"Vendre, laisser passer l'orage… ou saisir les opportunités d'investissement : trois réactions possibles face à la chute des marchés. Quelle est la bonne stratégie ?","Sélection abonnés,Publié le 25 févr. à 15h03,Mis à jour le 25 févr. à 15h04"
HP lance un rachat d'actions à 15 milliards de dollars et entrouvre la porte à Xerox,"C'est la première fois qu'Enrique Lores, le patron du fabricant d'ordinateurs personnels et d'imprimantes, se montre ouvert à une fusion avec Xerox depuis sa première offre en novembre. Même si le rachat d'actions et un plan validé la semaine passée par les actionnaires compliquent toute OPA hostile.","Publié le 25 févr. à 10h06,Mis à jour le 25 févr. à 16h46"
Peugeot/Fiat-Chrysler/Exor : un pangolin sur la route,La Bourse ne croit plus à la baraka des Agnelli avec Fiat-PSA et Partner Re-Covéa.,Publié le 25 mars à 22h12
,"L'opérateur suisse avait déposé une offre en novembre dernier à 34 euros par action. Euronext avait alors indiqué être en discussion avec le conseil d'administration de la Bourse de Madrid. Mais, pour l'instant, l'opérateur n'a pas concrétisé d'offre. ","Sélection abonnés,Publié le 25 mars à 16h34,Mis à jour le 25 mars à 17h16"
Bourse/Récessions : La nuit du chasseur,Seules des valeurs extrêmement basses ont relativisé l'incertitude des bénéfices.,Publié le 25 mars à 15h03
Coronavirus : les JO sont reportés mais la Bourse de Tokyo signe un bond record,Le Nikkei a bondi de 8 % ce mercredi. Les traders se moquent du changement de calendrier des Jeux Olympiques mais célèbrent la validation du gigantesque plan de relance américain. Toutes les grandes places asiatiques affichent de solides hausses.,Publié le 25 mars à 9h27
Coronavirus : les Bourses poursuivent leur rebond,"De Paris à New York, les places boursières confirment leur spectaculaire sursaut de mardi. Les investisseurs saluent les annonces de plans de soutien massifs à l'économie aux Etats-Unis et en Allemagne. Le CAC 40 a repris 18 % en cinq séances.","Publié le 25 mars à 8h57,Mis à jour le 25 mars à 21h26"
,"En février, les Français ont pour une bonne part d'entre eux misé sur des contrats d'assurance-vie en unités de compte, notamment investis en actions. La plupart des assureurs les ont encouragés dans cette voie, juste avant la panique boursière.","Sélection abonnés,Publié le 24 mars à 18h54,Mis à jour le 25 mars à 9h05"
,"Plusieurs entreprises ont déjà revu leur politique de dividendes à la baisse, du fait de la crise liée à la pandémie. Bruno Le Maire a exhorté mardi les entreprises cotées à faire preuve de modération.","Sélection abonnés,Publié le 24 mars à 17h57,Mis à jour le 24 mars à 18h16"
Réserve fédérale/Bourse : La Serpe d'Or,Le « no-limit » de la Réserve fédérale n'ôte pas tout risque de purge à Wall Street.,"Publié le 24 mars à 16h36,Mis à jour le 24 mars à 18h39"
,"CHRONIQUE DU VIRUS Nicolas Chartier est le cofondateur d'AramisAuto. Sonné comme un boxeur par le déclenchement de la crise du coronavirus, le vendeur de voitures raconte comment il a décidé de maintenir le service pour ses clients et continue à livrer des véhicules pour les professions prioritaires. En revanche, il ne reprend plus de nouvelles voitures.","Récit,Sélection abonnés,Publié le 24 mars à 11h02,Mis à jour le 24 mars à 16h30"
,"Les Bourses européennes et Wall Street ont rebondi vigoureusement avec des gains de plus de 11 % ce mardi, portées par l'intervention massive de la Fed. Mais le répit pourrait se révéler de courte durée, préviennent les professionnels des marchés. ","Sélection abonnés,Publié le 24 mars à 8h52,Mis à jour le 24 mars à 21h37"
Coronavirus : les Bourses asiatiques et le pétrole reprennent des couleurs,"La Bourse de Tokyo a terminé très nettement dans le vert ce mardi, à +7,13 %. Les Bourses chinoises et le pétrole se reprenaient également, rassurés par les mesures « sans limite » de la Réserve fédérale américaine et un appel de Pékin à favoriser la reprise du travail.","Publié le 24 mars à 7h51,Mis à jour le 24 mars à 9h17"
Coronavirus : ce qu'il faut retenir de la journée du mardi 24 mars,Au moins 401.285 cas d'infection au coronavirus ont été recensés dans 175 pays et territoires depuis le début de la pandémie. L'Italie paye le plus lourd tribut avec 6.820 morts. La France a franchi la barre des 1.000 décès.,"Publié le 24 mars à 7h15,Mis à jour le 24 mars à 21h39"
,"L'investisseur individuel est généralement la première victime des krachs boursiers et plus généralement des crises financières. Pour que celle-ci ne vienne pas confirmer la règle, des voix s'élèvent pour demander des mesures de protection.","Sélection abonnés,Publié le 23 mars à 18h32"
,"L'Autorité des Marchés Financiers demande aux groupes cotés de rendre publique « dès que possible » toute information les concernant. Très souvent, le juge de l'AMF est saisi sur l'appréciation de cette notion et sanctionne lourdement les entreprises qui l'ont mal appréhendée. ","Sélection abonnés,Publié le 23 mars à 17h37,Mis à jour le 24 mars à 10h59"
Coronavirus : Netflix vaut plus cher en Bourse que Disney au plus bas depuis 2014,"En un mois, l'action du géant du divertissement a perdu près de 40 %. De son côté, le numéro un mondial du streaming vidéo résiste bien mieux à la crise actuelle grâce à son modèle économique plus résilient.","Dernière minute,Publié le 23 mars à 17h10"
,"Donner un objectif de cours, estimer la valeur d'une société est devenu très compliqué avec les incertitudes liées à la pandémie et à la volatilité des marchés. Les analystes tentent de donner aux gérants des repères, en s'appuyant sur les effets de la crise financière de 2008 ou de la dette en 2011.","Sélection abonnés,Publié le 23 mars à 11h53,Mis à jour le 23 mars à 17h59"
,"L'opérateur du plus grand fonds tech de la planète veut reprendre le contrôle de ses finances et de sa valorisation. Le groupe de Masayoshi Son va lever des fonds pour racheter près de la moitié de ses actions en circulation. Enchantés, les traders font bondir son titre de 19 % à Tokyo.","Sélection abonnés,Publié le 23 mars à 10h52,Mis à jour le 23 mars à 16h00"
"Coronavirus : malgré la Fed, les Bourses européennes chutent, entraînées par Wall Street",Les mesures « sans limite » de la Réserve fédérale américaine n'ont pas empêché les Places financières de repartir à la baisse. La Bourse américaine a entraînée avec elle les Bourses européennes qui avaient pourtant tenté de revenir à l'équilibre après les annonces de la Fed. Le CAC 40 a clôturé sur une baisse de plus de 3 %.,"Publié le 23 mars à 8h52,Mis à jour le 23 mars à 21h45"
Les Bourses asiatiques déstabilisées par le rejet du plan de sauvetage américain,"Si la Bourse de Tokyo a finalement terminé ce lundi dans le vert, à +2,02 %, Hong Kong a lâché près de 5 % et les places financières de Chine continentale évoluaient dans le rouge à l'approche de leur fermeture. Après avoir fortement réagi au rejet du plan de sauvetage américain, le pétrole s'est repris.","Publié le 23 mars à 7h57,Mis à jour le 23 mars à 9h22"
Française des Jeux : Les hasards du jeu,La Française des Jeux demeure l'une des introductions en Bourse les plus résistantes.,Publié le 22 mars à 16h33
,"La banque a vu son cours flamber de 40 % en une semaine, avec une hausse de 31% sur la seule séance de vendredi. Le titre est extrêmement volatil, à l'instar de tout le secteur bancaire, très chahuté depuis le début de la crise du coronavirus.","Focus,Sélection abonnés,Publié le 22 mars à 15h15,Mis à jour le 22 mars à 16h03"
,"Les plans de continuité d'activité ont été activés dans les grandes banques françaises. Les salles de marché continuent de fonctionner, mais avec des rotations d'équipes, et sur différents sites. Avec le confinement, la solution du « trading à la maison » fait son chemin.","Récit,Sélection abonnés,Publié le 22 mars à 13h29,Mis à jour le 23 mars à 17h23"
Endettement des entreprises : La cigale et la pandémie,La cohorte des entreprises européennes au bilan affaibli s'allonge.,Publié le 22 mars à 11h52
Les Bourses mondiales s'enfoncent dans le rouge,"Après le bain de sang de lundi, les Places boursières mondiales ont encore creusé leurs pertes. Alors que les foyers d'infection se multiplient, les investisseurs s'inquiètent des conséquences des ruptures de chaînes d'approvisionnement sur la croissance mondiale.","Publié le 25 févr. à 8h50,Mis à jour le 26 févr. à 14h25"
"Paniqué par le coronavirus, Wall Street s'effondre","Le Dow Jones a plongé de 12,93 %, sa plus lourde chute depuis le Lundi noir d'octobre 1987. Le Nasdaq, à forte coloration technologique, s'est écroulé de 12,32 %. Les investisseurs s'inquiètent des conséquences économiques du coronavirus.","Publié le 16 mars à 22h11,Mis à jour le 16 mars à 22h32"
Coronavirus : une semaine de chaos sur les marchés,"Si les Bourses européennes se sont reprises jeudi et vendredi, Wall Street a traversé la pire semaine de son histoire. Les banques centrales ont dû agir en masse et en urgence pour éviter un effondrement du système financier. En un mois, le CAC 40 a perdu presque 40 %.","Publié le 21 mars à 13h58,Mis à jour le 21 mars à 18h11"
"Coronavirus : la curieuse assemblée générale d'Elior, première à se tenir à huis clos","La première assemblée générale du SBF 120 s'est tenue à huis clos pour cause de pandémie. Moment clé du dialogue avec les actionnaires, elle avait été préenregistrée, deux jours avant, au siège d'Elior. ","Publié le 21 mars à 10h31,Mis à jour le 22 mars à 14h13"
,"Le conglomérat allemand accélère le passage de flambeau entre son président Joe Kaeser et son successeur Roland Busch. Surtout, il annonce à la surprise générale un changement à la tête de Siemens Energy, six mois avant son entrée en Bourse.","Sélection abonnés,Publié le 20 mars à 16h00"
,Theodor Weiner devrait être nommé au conseil de surveillance de Deutsche Bank lors de son assemblée générale prévue le 20 mai. Cet expert financier fait figure de successeur à Paul Achleitner dont le mandat de président du groupe arrive à échéance en 2022.,"Sélection abonnés,Publié le 20 mars à 12h46"
"Coronavirus : les Bourses européennes dans le vert, Wall Street en chute libre",Les mesures massives mises sur la table par les banques centrales ont finalement ramené un peu de calme sur les marchés européens. Le CAC 40 parisien a gagné plus de 5 % vendredi. Le Dow Jones et le Nasdaq ont en revanche plongé.,"Publié le 20 mars à 8h50,Mis à jour le 20 mars à 21h22"
,"Reposant sur une mécanique complexe, les fonds structurés sont-ils en mesure de résister aux baisses de marché de plus de 30 % ? Quels sont les risques encourus ? ","Sélection abonnés,Publié le 20 mars à 7h21"
La Story : chroniques du coronavirus,"Pour « La Story », le podcast d'actualité des « Echos », Pierrick Fay et ses invités ont, depuis le début, décrypté les développements sanitaires et les enjeux économiques d'une pandémie mondiale, celle du Covid-19. Retour sur le film d'une contagion et d'un confinement aux répercussions sans précédent.","Podcast,Publié le 20 mars à 7h07,Mis à jour le 24 avr. à 18h17"
,"Laboratoires, livreurs de repas, services de streaming… Les investisseurs se précipitent sur les quelques valeurs qui pourraient bénéficier de l'épidémie de Covid-19, des confinements et du ralentissement de l'activité. A l'image de Novavax, un labo spécialisé dans les vaccins.","Sélection abonnés,Publié le 20 mars à 6h02,Mis à jour le 20 mars à 13h14"
Les autorités appellent les assureurs à la prudence sur les dividendes,"Le régulateur européen EIOPA invite les assureurs à la prudence sur la distribution des dividendes. CNP Assurances, qui a perdu les deux tiers de sa valeur depuis le début de l'année, confirme le maintien de son dividende.","Publié le 19 mars à 18h15,Mis à jour le 19 mars à 18h37"
,Le groupe de Masayoshi Son est l'un des plus exposés à l'actuel retournement économique provoqué par l'épidémie de Covid-19. Les titres des sociétés technologiques sur lesquelles il a lourdement misé via son Vision Fund plongent en Bourse.,"Décryptage,Sélection abonnés,Publié le 19 mars à 12h46,Mis à jour le 19 mars à 18h07"
"Coronavirus : après une journée hésitante, les Bourses européennes clôturent en hausse","Après le bazooka dégainé par la BCE, les Bourses européennes se sont montrées hésitantes avant de clôturer en hausse. La Bourse de Paris a gagné plus de 2 % sur la séance. Les taux à dix ans se détendent pour l'Italie et la France. Wall Street reprend aussi des couleurs.","Publié le 19 mars à 8h54,Mis à jour le 19 mars à 18h37"
Coronavirus : ce qu'il faut retenir des événements du 19 mars,"Le France compte désormais 10.995 cas de contamination. Au total, 372 personnes sont décédées, dont 108 dans les dernières 24 heures. Le président Macron a estimé, ce jeudi, qu'il faudrait « probablement » prolonger la période de confinement, qui a débuté mardi midi.","Dernière minute,Publié le 19 mars à 7h16,Mis à jour le 19 mars à 23h09"
Coronavirus : le New York Stock Exchange ferme son parquet,"Le NYSE, qui opère encore un parquet physique fréquenté par plusieurs traders, va basculer en mode tout électronique à partir de lundi de la semaine prochaine, par précaution. La fermeture sera temporaire, le temps que la crise ne se résorbe. ","Le buzz des États-Unis,Publié le 19 mars à 6h22,Mis à jour le 19 mars à 15h07"
Krach / Bourse : Vertigo,Une partie de la purge boursière n'a pas encore eu lieu.,Publié le 18 mars à 16h26
,"Compte tenu des conditions de marché, le fonds activiste américain apportera ses 16 % d'Altran à Capgemini. La fin d'un feuilleton qui aura duré près de huit mois et qui se sera joué devant les actionnaires mais aussi devant les juges.","Sélection abonnés,Publié le 18 mars à 11h33,Mis à jour le 18 mars à 13h29"
,Les autorités médicales chinoises affirment que l'Avigan a été efficace dans le traitement de ses malades infectés par le Covid-19. Les spécialistes restent toutefois prudents car la principale molécule du médicament est soupçonnée d'avoir des effets très négatifs sur les foetus des femmes enceintes.,"Sélection abonnés,Publié le 18 mars à 10h44,Mis à jour le 19 mars à 14h23"
Coronavirus : les marchés boursiers sombrent à nouveau,"Malgré une salve de mesures annoncées par les Etats et la Fed, les Bourses ne parviennent pas à se stabiliser. Le CAC 40 a chuté de près de 40 % en un mois et Wall Street a effacé les gains accumulés depuis l'investiture de Donald Trump. Pour éviter tout dérapage, l'AMF a pris des mesures contre les ventes à découvert et les positions courtes.","Publié le 18 mars à 8h49,Mis à jour le 18 mars à 18h55"
"Les Bourses asiatiques fébriles, malgré le net rebond de Wall Street","Après avoir ouvert dans le vert, dans la foulée des bons chiffres de Wall Street, qui s'est repris mardi après l'une des pires séances de son histoire, les Bourses asiatiques évoluaient en ordre dispersé à l'approche de la clôture ce mercredi. A Tokyo, le Nikkei a terminé en baisse de 1,7 %.","Publié le 18 mars à 7h54,Mis à jour le 18 mars à 8h43"
Coronavirus : ce qu'il faut retenir des événements du 18 mars,"3.626 personnes sont désormais hospitalisées en France, dont 931 en réanimation selon un bilan communiqué mercredi soir par le ministère de la Santé. Parmi ces 931 patients dans un état grave, la moitié sont âgés de « moins de 60 ans », a insisté le directeur général de la Santé Jérôme Salomon.","Publié le 18 mars à 7h28,Mis à jour le 18 mars à 22h59"
,"EXCLUSIF Robert Ophèle, le patron de l'Autorité des marchés financiers, explique pourquoi la fermeture des marchés actions serait contre-productive. Des mesures vont être prises encore pour limiter la volatilité. Les ventes à découvert seront interdites sur toutes les valeurs françaises pendant un mois et la durée des suspensions de cotation sera allongée.","Sélection abonnés,Publié le 17 mars à 20h13,Mis à jour le 18 mars à 10h17"
,Une ordonnance autorisera la tenue des assemblées générales sans la présence physique des actionnaires.,"Sélection abonnés,Publié le 17 mars à 13h07,Mis à jour le 17 mars à 19h00"
,"Les girations extrêmes des marchés financiers ces derniers jours illustrent l'érosion de la liquidité, encore plus inquiétante pour certains marchés comme la dette émergente et le crédit à haut rendement. Face aux larges demandes de rachats de part attendues, les régulateurs veillent.","Sélection abonnés,Publié le 17 mars à 10h03"
